11,100
27,66
107,178
26,126
83,119
10,123
85,40
21,121
53,7
106,46
42,53
104,97
3,2
6,90
170,20
13,101
105,106
52,135
54,73
109,50
108,141
171,32
5,13
169,21
55,158
84,118
168,45
43,4
110,122
111,183
86,156
12,102
173,115
25,94
50,71
1,55
101,149
172,33
100,99
87,157
200,194
51,30
102,170
103,98
98,144
174,187
197,196
196,199
198,154
175,176
41,10
165,188
82,1
24,104
49,44
164,192
166,128
167,191
20,110
162,173
81,151
99,113
40,61
199,198
163,174
80,81
161,160
48,28
97,150
194,103
195,200
96,171
193,169
192,87
160,159
14,63
22,49
29,95
45,68
90,43
181,134
180,72
58,79
91,96
117,107
116,51
182,138
183,75
44,5
59,155
89,153
118,145
119,136
28,16
178,132
57,143
114,108
179,177
88,83
115,109
56,84
113,48
112,184
15,64
30,52
61,77
122,137
177,70
176,133
23,29
46,8
123,130
93,129
186,195
187,76
60,82
92,168
185,74
184,120
47,24
121,146
94,140
120,147
189,193
188,189
95,164
190,152
191,197
72,117
149,35
4,11
31,3
2,56
62,31
18,12
9,124
125,179
37,54
124,175
63,139
126,180
74,34
148,17
150,25
127,181
75,165
151,127
73,166
136,114
69,80
138,36
146,22
147,23
139,105
36,6
145,37
144,26
137,186
34,131
19,111
68,86
77,88
154,112
155,116
17,125
153,62
141,167
35,67
38,47
152,60
8,91
76,89
39,69
78,142
157,190
70,9
140,93
142,27
156,185
71,39
79,78
143,38
64,85
66,148
158,182
133,41
159,172
132,14
67,163
134,42
135,57
130,18
33,58
32,59
129,19
128,162
65,161
16,65
131,15
7,92
201,201
