105,0.010998,0.810186,-0.615545,0.019818,0.019839,0.021484,0.023263
103,0.004999,-0.819528,0.313942,0.009008,0.009017,0.009765,0.010574
24,-0.220324,-0.198685,0.550538,-0.397015,-0.397442,-0.430409,-0.466042
48,-0.12226,-0.444435,-0.615545,-0.220308,-0.220545,-0.238839,-0.258612
181,0.145216,-0.444435,0.601238,0.261673,0.261954,0.283683,0.307169
91,-0.00492,0.616173,-0.615545,-0.008865,-0.008874,-0.009611,-0.010406
112,0.026995,0.810186,0.601238,0.048644,0.048696,0.052736,0.057102
93,0.001719,-0.328027,0.804035,0.003098,0.003101,0.003359,0.003637
47,-0.12458,-0.444435,-0.615545,-0.224488,-0.224729,-0.24337,-0.263519
188,0.200007,0.603238,0.41534,0.360404,0.360791,0.390718,0.423066
