11,2
27,2
107,1
26,2
83,2
10,2
85,2
21,2
53,2
106,1
42,2
104,1
3,2
6,2
170,1
13,2
105,1
52,2
54,2
109,1
108,1
171,1
5,2
169,1
55,2
84,2
168,1
43,2
110,1
111,1
86,2
12,2
173,1
25,2
50,2
1,2
101,1
172,1
100,1
87,2
200,1
51,2
102,1
103,1
98,1
174,1
197,1
196,1
198,1
175,1
41,2
165,1
82,2
24,2
49,2
164,1
166,1
167,1
20,2
162,1
81,2
99,1
40,2
199,1
163,1
80,2
161,1
48,2
97,1
194,1
195,1
96,1
193,1
192,1
160,1
14,2
22,2
29,2
45,2
90,2
181,1
180,1
58,2
91,2
117,1
116,1
182,1
183,1
44,2
59,2
89,2
118,1
119,1
28,2
178,1
57,2
114,1
179,1
88,2
115,1
56,2
113,1
112,1
15,2
30,2
61,2
122,1
177,1
176,1
23,2
46,2
123,1
93,1
186,1
187,1
60,2
92,2
185,1
184,1
47,2
121,1
94,1
120,1
189,1
188,1
95,1
190,1
191,1
72,2
149,1
4,2
31,2
2,2
62,2
18,2
9,2
125,1
37,2
124,1
63,2
126,1
74,2
148,1
150,1
127,1
75,2
151,1
73,2
136,1
69,2
138,1
146,1
147,1
139,1
36,2
145,1
144,1
137,1
34,2
19,2
68,2
77,2
154,1
155,1
17,2
153,1
141,1
35,2
38,2
152,1
8,2
76,2
39,2
78,2
157,1
70,2
140,1
142,1
156,1
71,2
79,2
143,1
64,2
66,2
158,1
133,1
159,1
132,1
67,2
134,1
135,1
130,1
33,2
32,2
129,1
128,1
65,2
16,2
131,1
7,2
201,1
